,actor,actress,art_direction,cinematography,costume,director,editing,effects,music,other,picture,s_actor,s_actress,screenplay,song,sound,year
Snow Carnival,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Beyond the Forest,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1949
On the Town,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,O,1949
Look for the Silver Lining,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1949
Neptune's Daughter,O,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,1949
It's a Great Feeling,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1949
So Dear to My Heart,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1949
"Once More, My Darling",O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1949
Madame Bovary,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1949
Little Women,O,O,W,N,O,O,O,O,O,O,O,O,O,O,O,O,1949
Adventures of Don Juan,O,O,N,O,W,O,O,O,O,O,O,O,O,O,O,O,1949
Saraband for Dead Lovers,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1949
Prince of Foxes,O,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,1949
She Wore a Yellow Ribbon,O,O,O,W,O,O,O,O,O,O,O,O,O,O,O,O,1949
The Barkleys of Broadway,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1949
Sand,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1949
Mother Is a Freshman,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1949
The Window,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1949
Mighty Joe Young,O,O,O,O,O,O,O,W,O,O,O,O,O,O,O,O,1949
Tulsa,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1949
All About Eve,O,N,N,N,W,W,N,O,N,O,W,W,N,W,O,W,1950
Born Yesterday,O,W,O,O,N,N,O,O,O,O,N,O,O,N,O,O,1950
Father of the Bride,N,O,O,O,O,O,O,O,O,O,N,O,O,N,O,O,1950
King Solomon's Mines,O,O,O,W,O,O,W,O,O,O,N,O,O,O,O,O,1950
Sunset Boulevard,N,N,W,N,O,N,N,O,W,W,N,N,N,O,O,O,1950
The Asphalt Jungle,O,O,O,N,O,N,O,O,O,O,O,N,O,N,O,O,1950
The Third Man,O,O,O,W,O,N,N,O,O,O,O,O,O,O,O,O,1950
Cyrano de Bergerac,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1950
The Magnificent Yankee,N,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1950
Harvey,N,O,O,O,O,O,O,O,O,O,O,O,W,O,O,O,1950
Caged,O,N,O,O,O,O,O,O,O,N,O,O,N,O,O,O,1950
Broken Arrow,O,O,O,N,O,O,O,O,O,O,O,N,O,N,O,O,1950
Mister 880,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1950
Adam's Rib,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
The Men,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
No Way Out,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
Panic in the Streets,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1950
Bitter Rice,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
The Gunfighter,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
Mystery Street,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
When Willie Comes Marching Home,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
Gerald McBoing-Boing,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1950
Jerry's Cousin,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
Trouble Indemnity,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
The Titan: Story of Michelangelo,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1950
With These Hands,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
Why Korea?,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1950
The Fight: Science Against Cancer,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
The Stairs,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
Grandad of Races,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1950
Blaze Busters,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
Wrong Way Butch,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
In Beaver Valley,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1950
Grandma Moses,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
My Country 'Tis of Thee,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1950
The Flame and the Arrow,O,O,O,N,O,O,O,O,N,O,O,O,O,O,O,O,1950
No Sad Songs for Me,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1950
Samson and Delilah,O,O,W,N,W,O,O,N,N,O,O,O,O,O,O,O,1950
Annie Get Your Gun,O,O,N,N,O,O,N,O,W,O,O,O,O,O,O,O,1950
Cinderella,O,O,O,O,O,O,O,O,N,O,O,O,O,O,N,N,1950
I'll Get By,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1950
Three Little Words,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1950
The West Point Story,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1950
"Captain Carey, U.S.A.",O,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,1950
The Toast of New Orleans,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1950
Singing Guns,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1950
Wabash Avenue,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1950
Louisa,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1950
Our Very Own,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1950
Trio,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1950
The Red Danube,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1950
Destination Moon,O,O,N,O,O,O,O,W,O,O,O,O,O,O,O,O,1950
The Furies,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1950
The Black Rose,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1950
That Forsyte Woman,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1950
An American in Paris,O,O,W,W,W,N,N,O,W,W,W,O,O,O,O,O,1951
Decision Before Dawn,O,O,O,O,O,O,N,O,O,O,N,O,O,O,O,O,1951
A Place in the Sun,N,N,O,W,W,W,W,O,W,O,N,O,O,W,O,O,1951
Quo Vadis,O,O,N,N,N,O,N,O,N,O,N,N,O,O,O,O,1951
A Streetcar Named Desire,N,W,W,N,N,N,O,O,N,O,N,W,W,N,O,N,1951
The African Queen,W,N,O,O,O,N,O,O,O,O,O,O,O,N,O,O,1951
Detective Story,O,N,O,O,O,N,O,O,O,O,O,O,N,N,O,O,1951
Bright Victory,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1951
Death of a Salesman,N,O,O,N,O,O,O,O,N,O,O,N,N,O,O,O,1951
The Blue Veil,O,N,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1951
Come Fill the Cup,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1951
The Mating Season,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1951
Ace in the Hole,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
David and Bathsheba,O,O,N,N,N,O,O,O,N,N,O,O,O,O,O,O,1951
Go for Broke!,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
The Well,O,O,O,O,O,O,N,O,O,N,O,O,O,O,O,O,1951
La Ronde,O,O,N,O,O,O,O,O,O,O,O,O,O,N,O,O,1951
Seven Days to Noon,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1951
Bullfighter and the Lady,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
The Frogmen,O,O,O,N,O,O,O,O,O,N,O,O,O,O,O,O,1951
Here Comes the Groom,O,O,O,O,O,O,O,O,O,N,O,O,O,O,W,O,1951
Teresa,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
The Two Mouseketeers,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1951
Lambert the Sheepish Lion,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
Rooty Toot Toot,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
Kon-Tiki,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1951
I Was a Communist for the FBI,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
Benjy,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1951
One Who Came Back,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
The Seeing Eye,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
World of Kids,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1951
Ridin' the Rails,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
The Story of Time,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
Nature's Half Acre,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1951
Balzac,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
Danger Under the Sea,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1951
Alice in Wonderland,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1951
The Great Caruso,O,O,O,O,N,O,O,O,N,O,O,O,O,O,O,W,1951
On the Riviera,O,O,N,O,O,O,O,O,N,O,O,O,O,O,O,O,1951
Show Boat,O,O,O,N,O,O,O,O,N,O,O,O,O,O,O,O,1951
The Strip,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1951
Golden Girl,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1951
Royal Wedding,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1951
"Rich, Young and Pretty",O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1951
I Want You,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1951
Two Tickets to Broadway,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1951
Fourteen Hours,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1951
The House on Telegraph Hill,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1951
Too Young to Kiss,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1951
Tales of Hoffmann,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1951
Strangers on a Train,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1951
When Worlds Collide,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1951
Kind Lady,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1951
The Model and the Marriage Broker,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1951
The Mudlark,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1951
The Greatest Show on Earth,O,O,O,O,N,N,N,O,O,W,W,O,O,O,O,O,1952
High Noon,W,O,O,O,O,N,W,O,W,O,N,O,O,N,W,O,1952
Ivanhoe,O,O,O,N,O,O,O,O,N,O,N,O,O,O,O,O,1952
Moulin Rouge,N,O,W,O,W,N,N,O,O,O,N,O,N,O,O,O,1952
The Quiet Man,O,O,N,W,O,W,O,O,O,O,N,N,O,N,O,N,1952
Five Fingers,O,O,O,O,O,N,O,O,O,O,O,O,O,N,O,O,1952
Viva Zapata!,N,O,N,O,O,O,O,O,N,N,O,W,O,O,O,O,1952
The Bad and the Beautiful,N,O,W,W,W,O,O,O,O,O,O,O,W,W,O,O,1952
The Lavender Hill Mob,N,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1952
"Come Back, Little Sheba",O,W,O,O,O,O,N,O,O,O,O,O,N,O,O,O,1952
Sudden Fear,O,N,O,N,N,O,O,O,O,O,O,N,O,O,O,O,1952
The Star,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1952
The Member of the Wedding,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1952
With a Song in My Heart,O,N,O,O,N,O,O,O,W,O,O,O,N,O,O,N,1952
My Cousin Rachel,O,O,N,N,N,O,O,O,O,O,O,N,O,O,O,O,1952
The Big Sky,O,O,O,N,O,O,O,O,O,O,O,N,O,O,O,O,1952
Singin' in the Rain,O,O,O,O,O,O,O,O,N,O,O,O,N,O,O,O,1952
The Man in the White Suit,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1952
The Atomic City,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Breaking the Sound Barrier,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,W,1952
Pat and Mike,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
My Son John,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
The Narrow Margin,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
The Pride of St. Louis,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
The Sniper,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Johann Mouse,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1952
Little Johnny Jet,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Madeline,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Pink and Blue Blues,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
The Romance of Transportation in Canada,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
The Sea Around Us,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1952
The Hoaxters,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Navajo,O,O,O,N,O,O,O,O,O,N,O,O,O,O,O,O,1952
Neighbours,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Devil Take Us,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
The Garden Spider,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Man Alive!,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Light in the Window,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1952
Athletes of the Saddle,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Desert Killer,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Royal Scotland,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Water Birds,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1952
Bridge of Time,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
Thar She Blows!,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1952
The Miracle of Our Lady of Fatima,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1952
The Thief,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1952
Hans Christian Andersen,O,O,N,N,N,O,O,O,N,O,O,O,O,O,N,N,1952
The Jazz Singer,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1952
The Medium,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1952
Son of Paleface,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1952
Because You're Mine,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1952
Just for You,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1952
The Card,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1952
Carrie,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1952
Rashomon,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1952
The Merry Widow,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1952
The Snows of Kilimanjaro,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,1952
Million Dollar Mermaid,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1952
Affair in Trinidad,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1952
Flat Top,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1952
From Here to Eternity,N,N,O,W,N,W,W,O,N,O,W,W,W,W,O,W,1953
Julius Caesar,N,O,W,N,O,O,O,O,N,O,N,O,O,O,O,O,1953
The Robe,N,O,W,N,W,O,O,O,O,O,N,O,O,O,O,O,1953
Roman Holiday,O,W,N,N,W,N,N,O,O,W,N,N,O,N,O,O,1953
Shane,O,O,O,W,O,N,O,O,O,O,N,N,O,N,O,O,1953
Lili,O,N,N,N,O,N,O,O,W,O,O,O,O,N,O,O,1953
Stalag 17,W,O,O,O,O,N,O,O,O,O,O,N,O,O,O,O,1953
Mogambo,O,N,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1953
The Moon Is Blue,O,N,O,O,O,O,N,O,O,O,O,O,O,O,N,O,1953
Hondo,O,O,O,O,O,O,O,O,O,N,O,O,N,O,O,O,1953
Torch Song,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1953
Pickup on South Street,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1953
The Cruel Sea,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1953
Titanic,O,O,N,O,O,O,O,O,O,W,O,O,O,O,O,O,1953
The Band Wagon,O,O,O,O,N,O,O,O,N,N,O,O,O,O,O,O,1953
The Desert Rats,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
The Naked Spur,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Take the High Ground!,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Above and Beyond,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,O,1953
The Captain's Paradise,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Little Fugitive,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
"Toot, Whistle, Plunk and Boom",O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1953
Christopher Crumpet,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
From A to Z-Z-Z-Z,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Rugged Bear,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
The Tell Tale Heart,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
The Living Desert,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1953
The Conquest of Everest,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
A Queen Is Crowned,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
The Alaskan Eskimo,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1953
The Living City,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Operation Blue Jay,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
They Planted a Stone,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
The Word,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Overture to The Merry Wives of Windsor,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1953
Christ Among the Primitives,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Herring Hunt,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Joy of Living,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Wee Water Wonders,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Bear Country,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1953
Ben and Me,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Return to Glennascaul,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Vesuvius Express,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
Winter Paradise,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1953
This Is Cinerama,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1953
Call Me Madam,O,O,O,O,N,O,O,O,W,O,O,O,O,O,O,O,1953
"The 5,000 Fingers of Dr. T.",O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1953
Calamity Jane,O,O,O,O,O,O,O,O,N,O,O,O,O,O,W,N,1953
Kiss Me Kate,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1953
Small Town Girl,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1953
Miss Sadie Thompson,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1953
The Caddy,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1953
Knights of the Round Table,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,1953
The Mississippi Gambler,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1953
The War of the Worlds,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,1953
Martin Luther,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,1953
The President's Lady,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1953
The Story of Three Loves,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1953
Young Bess,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1953
The Four Poster,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1953
All the Brothers Were Valiant,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1953
Beneath the 12-Mile Reef,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1953
The Actress,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1953
Dream Wife,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1953
How to Marry a Millionaire,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1953
Crazylegs,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1953
On the Waterfront,W,O,W,W,O,W,W,O,N,W,W,N,W,O,O,O,1954
The Caine Mutiny,N,O,O,O,O,O,N,O,N,O,N,N,O,N,O,N,1954
The Country Girl,N,W,N,N,O,N,O,O,O,O,N,O,O,W,O,O,1954
Seven Brides for Seven Brothers,O,O,O,N,O,O,N,O,W,O,N,O,O,N,O,O,1954
Three Coins in the Fountain,O,O,O,W,O,O,O,O,O,O,N,O,O,O,W,O,1954
The High and the Mighty,O,O,O,O,O,N,N,O,W,O,O,O,N,O,N,O,1954
Rear Window,O,O,O,N,O,N,O,O,O,O,O,O,O,N,O,N,1954
Sabrina,O,N,N,N,W,N,O,O,O,O,O,O,O,N,O,O,1954
A Star Is Born,N,N,N,O,N,O,O,O,N,O,O,O,O,O,N,O,1954
Robinson Crusoe,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1954
Carmen Jones,O,N,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1954
Magnificent Obsession,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1954
The Barefoot Contessa,O,O,O,O,O,O,O,O,O,N,O,W,O,O,O,O,1954
Executive Suite,O,O,N,N,N,O,O,O,O,O,O,O,N,O,O,O,1954
Broken Lance,O,O,O,O,O,O,O,O,O,W,O,O,N,O,O,O,1954
Genevieve,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,O,1954
The Glenn Miller Story,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,W,1954
Knock on Wood,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
"Bread, Love and Dreams",O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
Forbidden Games,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
Night People,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1954
