,index,year,name,category,result,score
152,31,1941,Judith Anderson,s_actress,N,0.2
153,32,1941,Ruth Hussey,s_actress,N,0.2
154,33,1941,Barbara O'Neil,s_actress,N,0.2
155,34,1941,Marjorie Rambeau,s_actress,N,0.2
136,15,1941,James Stewart,actor,W,5.0
137,16,1941,Charlie Chaplin,actor,N,0.2
138,17,1941,Henry Fonda,actor,N,0.2
139,18,1941,Raymond Massey,actor,N,0.2
140,19,1941,Laurence Olivier,actor,N,0.2
141,20,1941,Ginger Rogers,actress,W,5.0
142,21,1941,Bette Davis,actress,N,0.2
143,22,1941,Joan Fontaine,actress,N,0.2
144,23,1941,Katharine Hepburn,actress,N,0.2
145,24,1941,Martha Scott,actress,N,0.2
156,35,1941,Preston Sturges,screenplay,W,5.0
157,36,1941,Ben Hecht,screenplay,N,0.1
158,37,1941,John Huston,screenplay,N,0.1
159,38,1941,Charles Bennett,screenplay,N,0.1
160,39,1941,Charlie Chaplin,screenplay,N,0.1
161,40,1941,Donald Ogden Stewart,screenplay,W,5.0
162,41,1941,Nunnally Johnson,screenplay,N,0.1
163,42,1941,Dalton Trumbo,screenplay,N,0.1
164,43,1941,Dudley Nichols,screenplay,N,0.1
165,44,1941,Robert E. Sherwood,screenplay,N,0.1
264,0,1942,John Ford,director,W,5.0
265,1,1942,Orson Welles,director,N,0.2
266,2,1942,Alexander Hall,director,N,0.2
267,3,1942,William Wyler,director,N,0.2
268,4,1942,Howard Hawks,director,N,0.2
279,15,1942,Donald Crisp,s_actor,W,5.0
280,16,1942,Walter Brennan,s_actor,N,0.2
281,17,1942,Charles Coburn,s_actor,N,0.2
282,18,1942,James Gleason,s_actor,N,0.2
283,19,1942,Sydney Greenstreet,s_actor,N,0.2
284,20,1942,Mary Astor,s_actress,W,5.0
285,21,1942,Sara Allgood,s_actress,N,0.2
286,22,1942,Patricia Collinge,s_actress,N,0.2
287,23,1942,Teresa Wright,s_actress,N,0.2
288,24,1942,Margaret Wycherly,s_actress,N,0.2
269,5,1942,Gary Cooper,actor,W,5.0
270,6,1942,Cary Grant,actor,N,0.2
271,7,1942,Walter Huston,actor,N,0.2
272,8,1942,Robert Montgomery,actor,N,0.2
273,9,1942,Orson Welles,actor,N,0.2
274,10,1942,Joan Fontaine,actress,W,5.0
275,11,1942,Bette Davis,actress,N,0.2
276,12,1942,Olivia de Havilland,actress,N,0.2
277,13,1942,Greer Garson,actress,N,0.2
278,14,1942,Barbara Stanwyck,actress,N,0.2
289,25,1942,Herman J. Mankiewicz,screenplay,W,5.0
290,26,1942,Norman Krasna,screenplay,N,0.1
291,27,1942,John Huston,screenplay,N,0.1
292,28,1942,Karl Tunberg,screenplay,N,0.1
293,29,1942,Paul Jarrico,screenplay,N,0.1
294,30,1942,Sidney Buchman,screenplay,W,5.0
295,31,1942,Charles Brackett,screenplay,N,0.1
296,32,1942,Philip Dunne,screenplay,N,0.1
297,33,1942,Lillian Hellman,screenplay,N,0.1
298,34,1942,John Huston,screenplay,N,0.1
394,0,1943,William Wyler,director,W,5.0
395,1,1943,Sam Wood,director,N,0.2
396,2,1943,Mervyn LeRoy,director,N,0.2
397,3,1943,John Farrow,director,N,0.2
398,4,1943,Michael Curtiz,director,N,0.2
409,15,1943,Van Heflin,s_actor,W,5.0
410,16,1943,William Bendix,s_actor,N,0.2
411,17,1943,Walter Huston,s_actor,N,0.2
412,18,1943,Frank Morgan,s_actor,N,0.2
413,19,1943,Henry Travers,s_actor,N,0.2
414,20,1943,Teresa Wright,s_actress,W,5.0
415,21,1943,Gladys Cooper,s_actress,N,0.2
416,22,1943,Agnes Moorehead,s_actress,N,0.2
417,23,1943,Susan Peters,s_actress,N,0.2
418,24,1943,May Whitty,s_actress,N,0.2
399,5,1943,James Cagney,actor,W,5.0
400,6,1943,Ronald Colman,actor,N,0.2
401,7,1943,Gary Cooper,actor,N,0.2
402,8,1943,Walter Pidgeon,actor,N,0.2
403,9,1943,Monty Woolley,actor,N,0.2
404,10,1943,Greer Garson,actress,W,5.0
405,11,1943,Bette Davis,actress,N,0.2
406,12,1943,Katharine Hepburn,actress,N,0.2
407,13,1943,Rosalind Russell,actress,N,0.2
408,14,1943,Teresa Wright,actress,N,0.2
419,25,1943,Michael Kanin,screenplay,W,5.0
420,26,1943,Michael Powell,screenplay,N,0.1
421,27,1943,Frank Butler,screenplay,N,0.1
422,28,1943,W. R. Burnett,screenplay,N,0.1
423,29,1943,George Oppenheimer,screenplay,N,0.1
424,30,1943,George Froeschel,screenplay,W,5.0
425,31,1943,Rodney Ackland,screenplay,N,0.1
426,32,1943,Herman J. Mankiewicz,screenplay,N,0.1
427,33,1943,George Froeschel,screenplay,N,0.1
428,34,1943,Sidney Buchman,screenplay,N,0.1
523,0,1944,Michael Curtiz,director,W,5.0
524,1,1944,Ernst Lubitsch,director,N,0.2
525,2,1944,Clarence Brown,director,N,0.2
526,3,1944,George Stevens,director,N,0.2
527,4,1944,Henry King,director,N,0.2
540,17,1944,Charles Coburn,s_actor,W,3.0
541,18,1944,as Benjamin Dingle,s_actor,W,3.0
542,19,1944,Charles Bickford,s_actor,N,0.16666666666666666
543,20,1944,J. Carrol Naish,s_actor,N,0.16666666666666666
544,21,1944,Claude Rains,s_actor,N,0.16666666666666666
545,22,1944,Akim Tamiroff,s_actor,N,0.16666666666666666
546,23,1944,Katina Paxinou,s_actress,W,3.0
547,24,1944,as Pilar,s_actress,W,3.0
548,25,1944,Gladys Cooper,s_actress,N,0.16666666666666666
549,26,1944,Paulette Goddard,s_actress,N,0.16666666666666666
550,27,1944,Anne Revere,s_actress,N,0.16666666666666666
551,28,1944,Lucile Watson,s_actress,N,0.16666666666666666
528,5,1944,Paul Lukas,actor,W,3.0
529,6,1944,as Kurt Muller,actor,W,3.0
530,7,1944,Humphrey Bogart,actor,N,0.16666666666666666
531,8,1944,Gary Cooper,actor,N,0.16666666666666666
532,9,1944,Walter Pidgeon,actor,N,0.16666666666666666
533,10,1944,Mickey Rooney,actor,N,0.16666666666666666
534,11,1944,Jennifer Jones,actress,W,3.0
535,12,1944,Bernadette Soubirous,actress,W,3.0
536,13,1944,Jean Arthur,actress,N,0.16666666666666666
537,14,1944,Ingrid Bergman,actress,N,0.16666666666666666
538,15,1944,Joan Fontaine,actress,N,0.16666666666666666
539,16,1944,Greer Garson,actress,N,0.16666666666666666
552,29,1944,Norman Krasna,screenplay,W,5.0
553,30,1944,Dudley Nichols,screenplay,N,0.1
554,31,1944,Noël Coward,screenplay,N,0.1
555,32,1944,Lillian Hellman,screenplay,N,0.1
556,33,1944,Allan Scott,screenplay,N,0.1
557,34,1944,Julius J. Epstein,screenplay,W,5.0
558,35,1944,Nunnally Johnson,screenplay,N,0.1
559,36,1944,Lewis R. Foster,screenplay,N,0.1
560,37,1944,George Seaton,screenplay,N,0.1
561,38,1944,Dashiell Hammett,screenplay,N,0.1
648,0,1945,Leo McCarey,picture,W,5.0
649,1,1945,Joseph Sistrom for Paramount,picture,N,0.2
650,2,1945,Arthur Hornblow Jr.,picture,N,0.2
651,3,1945,David O. Selznick,picture,N,0.2
652,4,1945,Darryl F. Zanuck,picture,N,0.2
653,5,1945,Leo McCarey,director,W,5.0
654,6,1945,Billy Wilder,director,N,0.2
655,7,1945,Otto Preminger,director,N,0.2
656,8,1945,Alfred Hitchcock,director,N,0.2
657,9,1945,Henry King,director,N,0.2
668,20,1945,Barry Fitzgerald,s_actor,W,5.0
669,21,1945,Hume Cronyn,s_actor,N,0.2
670,22,1945,Claude Rains,s_actor,N,0.2
671,23,1945,Clifton Webb,s_actor,N,0.2
672,24,1945,Monty Woolley,s_actor,N,0.2
673,25,1945,Ethel Barrymore,s_actress,W,5.0
674,26,1945,Jennifer Jones,s_actress,N,0.2
675,27,1945,Angela Lansbury,s_actress,N,0.2
676,28,1945,Aline MacMahon,s_actress,N,0.2
677,29,1945,Agnes Moorehead,s_actress,N,0.2
658,10,1945,Bing Crosby,actor,W,5.0
659,11,1945,Charles Boyer,actor,N,0.2
660,12,1945,Barry Fitzgerald,actor,N,0.2
661,13,1945,Cary Grant,actor,N,0.2
662,14,1945,Alexander Knox,actor,N,0.2
663,15,1945,Ingrid Bergman,actress,W,5.0
664,16,1945,Claudette Colbert,actress,N,0.2
665,17,1945,Bette Davis,actress,N,0.2
666,18,1945,Greer Garson,actress,N,0.2
667,19,1945,Barbara Stanwyck,actress,N,0.2
678,30,1945,Lamar Trotti,screenplay,W,5.0
679,31,1945,Preston Sturges,screenplay,N,0.1
680,32,1945,Preston Sturges,screenplay,N,0.1
681,33,1945,Richard Connell,screenplay,N,0.1
682,34,1945,Jerome Cady,screenplay,N,0.1
683,35,1945,Frank Butler,screenplay,W,5.0
684,36,1945,Raymond Chandler,screenplay,N,0.1
685,37,1945,John L. Balderston,screenplay,N,0.1
686,38,1945,Jay Dratler,screenplay,N,0.1
687,39,1945,Irving Brecher,screenplay,N,0.1
789,0,1946,Charles Brackett,picture,W,5.0
790,1,1946,Joe Pasternak,picture,N,0.2
791,2,1946,Leo McCarey,picture,N,0.2
792,3,1946,Jerry Wald,picture,N,0.2
793,4,1946,David O. Selznick,picture,N,0.2
794,5,1946,Billy Wilder,director,W,5.0
795,6,1946,Leo McCarey,director,N,0.2
796,7,1946,Clarence Brown,director,N,0.2
797,8,1946,Jean Renoir,director,N,0.2
798,9,1946,Alfred Hitchcock,director,N,0.2
809,20,1946,James Dunn,s_actor,W,5.0
810,21,1946,Michael Chekhov,s_actor,N,0.2
811,22,1946,John Dall,s_actor,N,0.2
812,23,1946,Robert Mitchum,s_actor,N,0.2
813,24,1946,J. Carrol Naish,s_actor,N,0.2
814,25,1946,Anne Revere,s_actress,W,5.0
815,26,1946,Eve Arden,s_actress,N,0.2
816,27,1946,Ann Blyth,s_actress,N,0.2
817,28,1946,Angela Lansbury,s_actress,N,0.2
818,29,1946,Joan Lorring,s_actress,N,0.2
799,10,1946,Ray Milland,actor,W,5.0
800,11,1946,Bing Crosby,actor,N,0.2
801,12,1946,Gene Kelly,actor,N,0.2
802,13,1946,Gregory Peck,actor,N,0.2
803,14,1946,Cornel Wilde,actor,N,0.2
804,15,1946,Joan Crawford,actress,W,5.0
805,16,1946,Ingrid Bergman,actress,N,0.2
806,17,1946,Greer Garson,actress,N,0.2
807,18,1946,Jennifer Jones,actress,N,0.2
808,19,1946,Gene Tierney,actress,N,0.2
819,30,1946,Richard Schweizer,screenplay,W,5.0
820,31,1946,Philip Yordan,screenplay,N,0.1
821,32,1946,Myles Connolly,screenplay,N,0.1
822,33,1946,Milton Holmes,screenplay,N,0.1
823,34,1946,Harry Kurnitz,screenplay,N,0.1
824,35,1946,Charles Brackett,screenplay,W,5.0
825,36,1946,Ranald MacDougall,screenplay,N,0.1
826,37,1946,Albert Maltz,screenplay,N,0.1
827,38,1946,Guy Endore,screenplay,N,0.1
828,39,1946,Tess Slesinger,screenplay,N,0.1
918,0,1947,Samuel Goldwyn,picture,W,5.0
919,1,1947,Laurence Olivier,picture,N,0.2
920,2,1947,Frank Capra,picture,N,0.2
921,3,1947,Darryl F. Zanuck,picture,N,0.2
922,4,1947,Sidney Franklin,picture,N,0.2
923,5,1947,William Wyler,director,W,5.0
924,6,1947,David Lean,director,N,0.2
925,7,1947,Frank Capra,director,N,0.2
926,8,1947,Robert Siodmak,director,N,0.2
927,9,1947,Clarence Brown,director,N,0.2
938,20,1947,Harold Russell,s_actor,W,5.0
939,21,1947,Charles Coburn,s_actor,N,0.2
940,22,1947,William Demarest,s_actor,N,0.2
941,23,1947,Claude Rains,s_actor,N,0.2
942,24,1947,Clifton Webb,s_actor,N,0.2
943,25,1947,Anne Baxter,s_actress,W,5.0
944,26,1947,Ethel Barrymore,s_actress,N,0.2
945,27,1947,Lillian Gish,s_actress,N,0.2
946,28,1947,Flora Robson,s_actress,N,0.2
947,29,1947,Gale Sondergaard,s_actress,N,0.2
928,10,1947,Fredric March,actor,W,5.0
929,11,1947,Laurence Olivier,actor,N,0.2
930,12,1947,Larry Parks,actor,N,0.2
931,13,1947,Gregory Peck,actor,N,0.2
932,14,1947,James Stewart,actor,N,0.2
933,15,1947,Olivia de Havilland,actress,W,5.0
934,16,1947,Celia Johnson,actress,N,0.2
935,17,1947,Jennifer Jones,actress,N,0.2
936,18,1947,Rosalind Russell,actress,N,0.2
937,19,1947,Jane Wyman,actress,N,0.2
948,30,1947,Muriel Box,screenplay,W,5.0
949,31,1947,Raymond Chandler,screenplay,N,0.1
950,32,1947,Jacques Prévert,screenplay,N,0.1
951,33,1947,Ben Hecht,screenplay,N,0.1
952,34,1947,Norman Panama,screenplay,N,0.1
953,35,1947,Robert E. Sherwood,screenplay,W,5.0
954,36,1947,Sally Benson,screenplay,N,0.1
955,37,1947,Anthony Havelock-Allan,screenplay,N,0.1
956,38,1947,Anthony Veiller,screenplay,N,0.1
957,39,1947,Sergio Amidei,screenplay,N,0.1
993,0,1948,Darryl F. Zanuck,picture,W,5.0
994,1,1948,Samuel Goldwyn,picture,N,0.2
995,2,1948,Adrian Scott,picture,N,0.2
996,3,1948,Ronald Neame,picture,N,0.2
997,4,1948,William Perlberg,picture,N,0.2
998,5,1948,Elia Kazan,director,W,5.0
999,6,1948,Henry Koster,director,N,0.2
1000,7,1948,Edward Dmytryk,director,N,0.2
1001,8,1948,George Cukor,director,N,0.2
1002,9,1948,David Lean,director,N,0.2
1013,20,1948,Edmund Gwenn,s_actor,W,5.0
1014,21,1948,Charles Bickford,s_actor,N,0.2
1015,22,1948,Thomas Gomez,s_actor,N,0.2
1016,23,1948,Robert Ryan,s_actor,N,0.2
1017,24,1948,Richard Widmark,s_actor,N,0.2
1018,25,1948,Celeste Holm,s_actress,W,5.0
1019,26,1948,Ethel Barrymore,s_actress,N,0.2
1020,27,1948,Gloria Grahame,s_actress,N,0.2
1021,28,1948,Marjorie Main,s_actress,N,0.2
1022,29,1948,Anne Revere,s_actress,N,0.2
1003,10,1948,Ronald Colman,actor,W,5.0
1004,11,1948,John Garfield,actor,N,0.2
1005,12,1948,Gregory Peck,actor,N,0.2
1006,13,1948,William Powell,actor,N,0.2
1007,14,1948,Michael Redgrave,actor,N,0.2
1008,15,1948,Loretta Young,actress,W,5.0
1009,16,1948,Joan Crawford,actress,N,0.2
1010,17,1948,Susan Hayward,actress,N,0.2
1011,18,1948,Dorothy McGuire,actress,N,0.2
1012,19,1948,Rosalind Russell,actress,N,0.2
1023,30,1948,Sidney Sheldon,screenplay,W,5.0
1024,31,1948,Abraham Polonsky,screenplay,N,0.1
1025,32,1948,Ruth Gordon,screenplay,N,0.1
1026,33,1948,Charlie Chaplin,screenplay,N,0.1
1027,34,1948,Sergio Amidei,screenplay,N,0.1
1028,35,1948,George Seaton,screenplay,W,5.0
1029,36,1948,Richard Murphy,screenplay,N,0.1
1030,37,1948,John Paxton,screenplay,N,0.1
1031,38,1948,Moss Hart,screenplay,N,0.1
1032,39,1948,David Lean,screenplay,N,0.1
1068,0,1949,Laurence Olivier,picture,W,5.0
1069,1,1949,Jerry Wald,picture,N,0.2
1070,2,1949,Michael Powell,picture,N,0.2
1071,3,1949,Anatole Litvak,picture,N,0.2
1072,4,1949,Henry Blanke,picture,N,0.2
1073,5,1949,John Huston,director,W,5.0
1074,6,1949,Laurence Olivier,director,N,0.2
1075,7,1949,Jean Negulesco,director,N,0.2
1076,8,1949,Fred Zinnemann,director,N,0.2
1077,9,1949,Anatole Litvak,director,N,0.2
1088,20,1949,Walter Huston,s_actor,W,5.0
1089,21,1949,Charles Bickford,s_actor,N,0.2
1090,22,1949,José Ferrer,s_actor,N,0.2
1091,23,1949,Oscar Homolka,s_actor,N,0.2
1092,24,1949,Cecil Kellaway,s_actor,N,0.2
1093,25,1949,Claire Trevor,s_actress,W,5.0
1094,26,1949,Barbara Bel Geddes,s_actress,N,0.2
1095,27,1949,Ellen Corby,s_actress,N,0.2
1096,28,1949,Agnes Moorehead,s_actress,N,0.2
1097,29,1949,Jean Simmons,s_actress,N,0.2
1078,10,1949,Laurence Olivier,actor,W,5.0
1079,11,1949,Lew Ayres,actor,N,0.2
1080,12,1949,Montgomery Clift,actor,N,0.2
1081,13,1949,Dan Dailey,actor,N,0.2
1082,14,1949,Clifton Webb,actor,N,0.2
1083,15,1949,Jane Wyman,actress,W,5.0
1084,16,1949,Ingrid Bergman,actress,N,0.2
1085,17,1949,Olivia de Havilland,actress,N,0.2
1086,18,1949,Irene Dunne,actress,N,0.2
1087,19,1949,Barbara Stanwyck,actress,N,0.2
1098,30,1949,John Huston,screenplay,W,5.0
1099,31,1949,Charles Brackett,screenplay,N,0.2
1100,32,1949,Irma von Cube,screenplay,N,0.2
1101,33,1949,Richard Schweizer,screenplay,N,0.2
1102,34,1949,Frank Partos,screenplay,N,0.2
1145,0,1950,Robert Rossen,picture,W,5.0
1146,1,1950,Dore Schary,picture,N,0.2
1147,2,1950,William Wyler,picture,N,0.2
1148,3,1950,Sol C. Siegel,picture,N,0.2
1149,4,1950,Darryl F. Zanuck,picture,N,0.2
1150,5,1950,Joseph L. Mankiewicz,director,W,5.0
1151,6,1950,Robert Rossen,director,N,0.2
1152,7,1950,William A. Wellman,director,N,0.2
1153,8,1950,Carol Reed,director,N,0.2
1154,9,1950,William Wyler,director,N,0.2
1165,20,1950,Dean Jagger,s_actor,W,5.0
1166,21,1950,John Ireland,s_actor,N,0.2
1167,22,1950,Arthur Kennedy,s_actor,N,0.2
1168,23,1950,Ralph Richardson,s_actor,N,0.2
1169,24,1950,James Whitmore,s_actor,N,0.2
1170,25,1950,Mercedes McCambridge,s_actress,W,5.0
1171,26,1950,Ethel Barrymore,s_actress,N,0.2
1172,27,1950,Celeste Holm,s_actress,N,0.2
1173,28,1950,Elsa Lanchester,s_actress,N,0.2
1174,29,1950,Ethel Waters,s_actress,N,0.2
1155,10,1950,Broderick Crawford,actor,W,5.0
1156,11,1950,Kirk Douglas,actor,N,0.2
1157,12,1950,Gregory Peck,actor,N,0.2
1158,13,1950,Richard Todd,actor,N,0.2
1159,14,1950,John Wayne,actor,N,0.2
1160,15,1950,Olivia de Havilland,actress,W,5.0
1161,16,1950,Jeanne Crain,actress,N,0.2
1162,17,1950,Susan Hayward,actress,N,0.2
1163,18,1950,Deborah Kerr,actress,N,0.2
1164,19,1950,Loretta Young,actress,N,0.2
1175,30,1950,Joseph L. Mankiewicz,screenplay,W,5.0
1176,31,1950,Robert Rossen,screenplay,N,0.2
1177,32,1950,Cesare Zavattini,screenplay,N,0.2
1178,33,1950,Carl Foreman,screenplay,N,0.2
1179,34,1950,Graham Greene,screenplay,N,0.2
1221,0,1951,Darryl F. Zanuck,picture,W,5.0
1222,1,1951,S. Sylvan Simon,picture,N,0.2
1223,2,1951,Pandro S. Berman,picture,N,0.2
1224,3,1951,Sam Zimbalist,picture,N,0.2
1225,4,1951,Charles Brackett,picture,N,0.2
1226,5,1951,Joseph L. Mankiewicz,director,W,5.0
1227,6,1951,John Huston,director,N,0.2
1228,7,1951,George Cukor,director,N,0.2
1229,8,1951,Billy Wilder,director,N,0.2
1230,9,1951,Carol Reed,director,N,0.2
1241,20,1951,George Sanders,s_actor,W,5.0
1242,21,1951,Jeff Chandler,s_actor,N,0.2
1243,22,1951,Edmund Gwenn,s_actor,N,0.2
1244,23,1951,Sam Jaffe,s_actor,N,0.2
1245,24,1951,Erich von Stroheim,s_actor,N,0.2
1246,25,1951,Josephine Hull,s_actress,W,5.0
1247,26,1951,Hope Emerson,s_actress,N,0.2
1248,27,1951,Celeste Holm,s_actress,N,0.2
1249,28,1951,Nancy Olson,s_actress,N,0.2
1250,29,1951,Thelma Ritter,s_actress,N,0.2
1231,10,1951,José Ferrer,actor,W,5.0
1232,11,1951,Louis Calhern,actor,N,0.2
1233,12,1951,William Holden,actor,N,0.2
1234,13,1951,James Stewart,actor,N,0.2
1235,14,1951,Spencer Tracy,actor,N,0.2
1236,15,1951,Judy Holliday,actress,W,5.0
1237,16,1951,Anne Baxter,actress,N,0.2
1238,17,1951,Bette Davis,actress,N,0.2
1239,18,1951,Eleanor Parker,actress,N,0.2
1240,19,1951,Gloria Swanson,actress,N,0.2
1251,30,1951,Joseph L. Mankiewicz,screenplay,W,5.0
1252,31,1951,Ben Maddow,screenplay,N,0.2
1253,32,1951,Albert Mannheimer,screenplay,N,0.2
1254,33,1951,Albert Maltz,screenplay,N,0.2
1255,34,1951,Frances Goodrich,screenplay,N,0.2
1305,0,1952,Arthur Freed,picture,W,5.0
1306,1,1952,Anatole Litvak,picture,N,0.2
1307,2,1952,George Stevens,picture,N,0.2
1308,3,1952,Sam Zimbalist,picture,N,0.2
1309,4,1952,Charles K. Feldman,picture,N,0.2
1310,5,1952,George Stevens,director,W,5.0
1311,6,1952,John Huston,director,N,0.2
1312,7,1952,Vincente Minnelli,director,N,0.2
1313,8,1952,William Wyler,director,N,0.2
1314,9,1952,Elia Kazan,director,N,0.2
1325,20,1952,Karl Malden,s_actor,W,5.0
1326,21,1952,Leo Genn,s_actor,N,0.2
1327,22,1952,Kevin McCarthy,s_actor,N,0.2
1328,23,1952,Peter Ustinov,s_actor,N,0.2
1329,24,1952,Gig Young,s_actor,N,0.2
1330,25,1952,Kim Hunter,s_actress,W,5.0
1331,26,1952,Joan Blondell,s_actress,N,0.2
1332,27,1952,Mildred Dunnock,s_actress,N,0.2
1333,28,1952,Lee Grant,s_actress,N,0.2
1334,29,1952,Thelma Ritter,s_actress,N,0.2
1315,10,1952,Humphrey Bogart,actor,W,5.0
1316,11,1952,Marlon Brando,actor,N,0.2
1317,12,1952,Montgomery Clift,actor,N,0.2
1318,13,1952,Arthur Kennedy,actor,N,0.2
1319,14,1952,Fredric March,actor,N,0.2
1320,15,1952,Vivien Leigh,actress,W,5.0
1321,16,1952,Katharine Hepburn,actress,N,0.2
1322,17,1952,Eleanor Parker,actress,N,0.2
1323,18,1952,Shelley Winters,actress,N,0.2
1324,19,1952,Jane Wyman,actress,N,0.2
1335,30,1952,Michael Wilson,screenplay,W,5.0
1336,31,1952,James Agee,screenplay,N,0.2
1337,32,1952,Philip Yordan,screenplay,N,0.2
1338,33,1952,Jacques Natanson,screenplay,N,0.2
1339,34,1952,Tennessee Williams,screenplay,N,0.2
1395,0,1953,Cecil B. DeMille,picture,W,5.0
1396,1,1953,Stanley Kramer,picture,N,0.2
1397,2,1953,Pandro S. Berman,picture,N,0.2
1398,3,1953,John Huston,picture,N,0.2
1399,4,1953,John Ford,picture,N,0.2
1400,5,1953,John Ford,director,W,5.0
1401,6,1953,Joseph L. Mankiewicz,director,N,0.2
1402,7,1953,Cecil B. DeMille,director,N,0.2
1403,8,1953,Fred Zinnemann,director,N,0.2
1404,9,1953,John Huston,director,N,0.2
1415,20,1953,Anthony Quinn,s_actor,W,5.0
1416,21,1953,Richard Burton,s_actor,N,0.2
1417,22,1953,Arthur Hunnicutt,s_actor,N,0.2
1418,23,1953,Victor McLaglen,s_actor,N,0.2
1419,24,1953,Jack Palance,s_actor,N,0.2
1420,25,1953,Gloria Grahame,s_actress,W,5.0
1421,26,1953,Jean Hagen,s_actress,N,0.2
1422,27,1953,Colette Marchand,s_actress,N,0.2
1423,28,1953,Terry Moore,s_actress,N,0.2
1424,29,1953,Thelma Ritter,s_actress,N,0.2
1405,10,1953,Gary Cooper,actor,W,5.0
1406,11,1953,Marlon Brando,actor,N,0.2
1407,12,1953,Kirk Douglas,actor,N,0.2
1408,13,1953,José Ferrer,actor,N,0.2
1409,14,1953,Alec Guinness,actor,N,0.2
1410,15,1953,Shirley Booth,actress,W,5.0
1411,16,1953,Joan Crawford,actress,N,0.2
1412,17,1953,Bette Davis,actress,N,0.2
1413,18,1953,Julie Harris,actress,N,0.2
1414,19,1953,Susan Hayward,actress,N,0.2
1425,30,1953,Charles Schnee,screenplay,W,5.0
1426,31,1953,Michael Wilson,screenplay,N,0.2
1427,32,1953,Carl Foreman,screenplay,N,0.2
1428,33,1953,Roger MacDougall,screenplay,N,0.2
1429,34,1953,Frank S. Nugent,screenplay,N,0.2
1485,0,1954,Buddy Adler,picture,W,5.0
1486,1,1954,John Houseman,picture,N,0.2
1487,2,1954,Frank Ross,picture,N,0.2
1488,3,1954,William Wyler,picture,N,0.2
1489,4,1954,George Stevens,picture,N,0.2
1490,5,1954,Fred Zinnemann,director,W,5.0
1491,6,1954,Charles Walters,director,N,0.2
1492,7,1954,William Wyler,director,N,0.2
1493,8,1954,George Stevens,director,N,0.2
1494,9,1954,Billy Wilder,director,N,0.2
1505,20,1954,Frank Sinatra,s_actor,W,5.0
1506,21,1954,Eddie Albert,s_actor,N,0.2
1507,22,1954,Brandon deWilde,s_actor,N,0.2
1508,23,1954,Jack Palance,s_actor,N,0.2
